run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
78,0.08111217547808476,1,3226.839552366,0,100.85091113434277,110.38054061366098,8.67334111636248,41.68616442506656,-20.69504202695425,-6.6120697333234,42.56301512004692,75.52426478969956,49.73680851421473,21.566831544287787,61.600144950153286
79,0.08117820456325431,1,294.420924561,0,108.45089812679223,107.96039920278749,9.37365315271287,40.25447632221554,-17.555007304233463,-4.6238750503839805,42.70627673742674,79.21775866318615,48.10834382622202,21.3552328912604,63.12658230631469
80,0.08113896221570556,1,1120.661798551,0,108.25192288043654,107.20313756990018,9.439530588020554,38.79937503251533,-17.12724979231944,-4.344683771956896,41.53274236752298,76.18200787471145,50.04135784168862,21.723634572113514,62.91727469296063
81,0.08124257210503831,1,434.111228968,0,124.11938060901215,98.11589343857095,11.124239307848887,30.254629660171606,-9.532325827580737,2.297015880797732,36.11263895532155,77.5153847774615,50.730801968098255,21.970837617423573,64.67034203348784
82,0.08116030074209869,1,398.410935764,0,102.06967789210897,104.52751375057912,9.026507521878711,32.40922458504158,-16.693564127826864,-3.1176833919143307,34.69847919234347,75.38929221913436,49.86365233000217,21.64895593498915,60.55160740401691
83,0.08108948258036948,1,560.715989006,0,82.67578969641522,111.35550161751347,7.0716500791717625,37.1605600595279,-24.384377026063966,-8.8494954140196,35.06714148663439,74.05737938724842,48.90759228268435,21.19609663784762,56.53522732716841
84,0.08111509448577066,1,1976.224650563,0,100.27193073353781,109.30149751488766,8.677903607623387,39.69241560531215,-20.09268444639999,-6.022806529316835,40.71434239368744,75.46250513193063,49.71529742709458,21.553059456427818,61.18362997115678
85,0.0811360208924308,1,2940.799531108,0,107.86454050332523,107.57197180689455,9.36162132664039,39.54676204673196,-17.656726708611128,-4.302529486110973,41.892786324525126,76.15293034913184,49.98071301045348,21.709322529367135,62.838053327210254
86,0.08105328963042081,1,768.456352044,0,70.43337729383539,116.0891612628125,5.883087739314916,41.29203404977979,-30.55652985145746,-12.898248312205276,35.579686369985566,73.23847958412583,48.55441927496609,21.009931695328397,53.75599514714952
87,0.08106482967504146,1,557.386896342,0,58.58399005190028,114.98096380353965,4.819114211276047,35.81474240216038,-32.053747136781986,-13.364625115808135,27.755212737999457,72.36076271648956,47.94559520724216,20.771794861763542,49.508257095207725
88,0.08115768417480664,1,315.357530547,0,92.31853513711242,112.83923599247036,7.7795966551315905,42.89537695825691,-24.025795685577997,-8.755425218442904,41.860978412417744,77.61794105677725,47.91640053316659,18.715678729967678,59.7830558519756
89,0.08106679398437287,1,261.465224987,0,67.70535194083254,116.19318037787683,5.6576559515281835,40.55554381758983,-31.129671215822334,-13.315843731280655,34.248555174675616,73.3496877512029,47.966602069583715,21.808002153345086,52.914728746720144
90,0.08110008240899756,1,532.256818778,0,95.68944180043681,111.1808263877066,8.211786473253797,41.18559045004078,-22.076770449130425,-7.6356970343018435,41.21403912873573,75.11721334672535,49.54572164864683,21.47032941765161,60.355836528241
91,0.08108739002946631,1,707.582016192,0,45.23394396452947,116.48398456275642,3.4462264590972573,34.339908789942925,-33.61757892049679,-17.750649517460722,22.523685346353805,71.09986443019602,47.893942326074075,20.687842150319085,44.84257894594888
92,0.08106655149444239,1,508.955405491,0,47.50637628348264,118.17795344113392,3.6177233962301725,38.40221997993025,-36.24807170467772,-17.140401355299584,26.081390355165983,71.58799020062521,47.75257291337743,19.821105171900257,46.01651149506897
93,0.08110968750665795,1,3251.823061063,0,94.35036469366034,109.09334293885861,8.212144474624088,37.268390406866814,-21.007878526121285,-6.447360440229498,37.510838774531905,75.02115867783014,49.43606720211856,21.437534488835226,59.47011628568562
94,0.08109549226479001,1,826.694700548,0,85.09732572393206,110.51444134100251,7.486552543489456,35.856100751234514,-22.979920689795208,-9.145314999126368,35.06329644551497,74.32340399814414,48.91180962671593,21.239575640317796,57.21241353582775
95,0.08114046687010149,1,432.437574266,0,97.66200918718633,112.25421884333825,8.343490656204382,43.60103885934223,-22.414914676801892,-8.125543822420052,43.69123775555697,77.90758360120478,47.914617869020496,21.182271820289543,61.16636282703717
96,0.08110840736472649,0,7252.452324227,0,88.82016546622354,108.99797985577635,7.760190582428012,35.18315994556949,-21.851638029193634,-6.9545314819902595,34.6586990742487,74.59702073229731,49.199070424535066,21.331426101781542,57.84913066348725
97,0.08116862244371471,1,1156.170157083,0,113.52605700757665,103.9559195343245,9.98878833275664,35.67465747712342,-14.485142411587058,-1.7648639831897912,39.39785066005866,76.6326250005961,50.21100584807772,21.819694969383995,63.455715340494365
98,0.0810851752877049,1,1158.930571679,0,89.10114939757113,112.35903284476714,7.645773499922478,40.889639106865694,-24.13809671416935,-8.97262182397982,39.632735901040625,74.64943071959696,49.247298557368296,21.34795606365425,58.72214527305959
99,0.08111080167686588,1,1138.219026401,0,98.32395467874701,109.61242877740905,8.507867508339958,39.52459368056624,-20.652415328329898,-6.385779863350123,40.21415660034946,75.2900884189214,49.695702344834494,21.408701426023036,60.71567750469611
100,0.08118308313048997,1,1059.094723525,0,46.197897560136816,111.16527765738677,3.786513732584897,25.328777930533672,-30.0602737551309,-13.362127573725594,15.59911158005424,71.20003636814046,47.839328309080564,20.451534125841857,44.06201610745735
101,0.08122701519509984,1,393.752446498,0,120.67356632268464,99.23800740360244,10.748641930560849,30.735739696692278,-10.600097865000324,1.4654887355317887,36.031620303026635,77.23530245632536,50.53571884798751,21.928783143398906,64.12137537563312
102,0.08107016802444655,1,709.098685299,0,82.28664043043906,114.04432890026443,6.999954056724597,41.56523069998412,-26.87610938067658,-10.441678841352113,38.65034844689658,74.34385162618182,48.79361039573603,21.151196351500783,57.0618707922906
103,0.08105068124230908,1,941.093498578,0,64.97478574656554,116.12693951590403,5.405424222767739,39.62592608292103,-31.65258527736461,-13.512108821181274,32.72792411215224,73.0565750694763,48.14047397746941,20.919799163745644,51.967760300872
104,0.08118295971981883,1,763.349082058,0,44.99164630056939,113.9685729842192,3.306893739655708,28.34893886421113,-27.60646340753861,-18.545366699625966,18.756222638991197,71.46056487682196,47.70299904911933,19.853737689638553,44.4803793661898
105,0.08105867132840718,0,7227.182539273,0,49.42599105294783,117.06120461712624,3.917083636050654,37.10077807329427,-36.0058672469708,-15.36858433435335,25.51538264843114,71.18087952511586,47.713210807113434,20.53368683524761,46.51415252443289
106,0.08106270728638094,1,732.026263497,0,74.8608807072426,114.7587758980203,6.32725578398777,40.40792816991742,-28.679999608339088,-11.694973269201766,35.98743631530443,73.52175808806523,48.59481269683752,21.06103178448196,54.88647863913909
107,0.08103812831063419,1,684.307831128,0,58.745029720546555,118.25566548893178,4.763621263563727,41.62751858440217,-35.0292271500992,-15.323260977527335,32.43758166863196,72.28414080788856,47.917625510913616,20.75304687058401,50.25720925624384
108,0.08106524052957509,1,717.034297737,0,58.275517346162864,115.07133385594621,4.789151596379496,35.85467113910358,-31.350949934310574,-14.144633707963836,27.905435787119032,72.20401273957333,47.95273471955973,20.744712411677185,49.343037740740606
109,0.08110228125975845,1,729.319782601,0,97.2848000432608,111.48283190040586,8.338662459148646,42.26064335293289,-22.080644995128036,-7.615648273723971,42.414243028930194,75.24879432381513,49.607501314488815,21.501642510576477,60.87057778877902
110,0.08111001446562681,0,7257.724555078,0,85.49832439590655,109.23708430591222,7.448237728132188,34.46195926084351,-22.400282479421683,-7.518316412076025,33.40268164706556,74.3445112601802,49.06265995984946,21.268633432556086,56.91262634728165
111,0.0810875821648347,1,896.107722254,0,75.45291684876233,111.65689512611083,6.505713371885073,35.25301985776834,-26.238519059768297,-9.717335676906682,31.785261322504905,73.62890471294361,48.61333111854636,21.082637255437554,54.40070279680338
112,0.08112679320425698,1,537.861400556,0,92.93873288933312,113.36955804471528,7.912189595026111,43.862261674050565,-24.091894787704945,-9.221805896878156,42.97822603053877,77.58907663501454,47.687193335556735,21.045488027853217,60.077061046305815
113,0.08114457639343083,0,7264.501213207,0,55.25383969511681,110.8522830166235,4.715752713743652,27.41231421685483,-28.64146852221736,-11.877234957377492,20.186544690089715,71.97774288102389,48.00392098337758,20.71519574214864,47.40250756747267
114,0.08117859243774642,1,315.886020675,0,61.53987453571101,109.049639985098,5.392149641968251,26.27140907420805,-26.451411314917795,-9.813926818095096,20.905899752661835,72.52025539300199,47.9710594601979,21.635694337571078,49.219917457922215
115,0.08114238468170394,1,6143.960261757,0,108.27449255221791,106.5487223525541,9.443796053457767,37.99725548564005,-16.915700449616228,-3.7126787945979918,40.612190770963615,76.17916014601565,49.99039704628953,21.714990714310705,62.704110668609374
116,0.08114733898042838,1,252.747229764,0,98.86906962984406,112.43416844480838,8.300098165251452,44.52076721825609,-22.667618310844986,-7.740140764773581,44.68362932133726,77.32040481442107,47.44898004671473,21.421194555418637,61.51660097033609
117,0.08106408733092682,1,1532.771155372,0,59.22509655467132,114.9941044283126,4.929801922794352,36.12597631404247,-31.8775001833562,-13.24185911434593,28.07060607164189,72.5673215125692,47.957451529114905,20.810488951042014,49.65016316279229
118,0.08114481396184692,1,505.321458655,0,112.56811400461496,108.08450525579246,9.689410282773125,42.1022306689629,-17.075485673993896,-4.2065213138858075,44.946566001732144,76.3574514277112,50.29225659542188,21.769843926223935,64.20095493433166
119,0.08112088331374999,1,247.511532637,0,90.70096495480828,113.60708391061974,7.724474466859625,43.438596574654454,-24.593195836652853,-9.636955657371614,42.267396940967124,77.36723815758175,47.72073944222094,20.988971383727332,59.5175869196626
120,0.08111179349119498,1,1167.858920087,0,98.67515874511375,109.5304091069914,8.529805151348473,39.40242756249588,-20.353517055472413,-6.394159957526284,40.25690112319727,75.36239827485797,49.684567357527236,21.53244305523328,60.81571140277058
