minute,pts_in,pts_out
963,763.0,479.0
964,794.0,481.0
965,775.0,444.0
966,833.0,493.0
967,834.0,475.0
968,848.0,479.0
969,858.0,494.0
970,838.0,471.0
971,800.0,494.0
972,813.0,462.0
973,788.0,439.0
974,779.0,462.0
975,773.0,524.0
976,734.0,454.0
977,700.0,507.0
978,728.0,444.0
979,711.0,418.0
980,756.0,452.0
981,731.0,431.0
982,722.0,475.0
983,744.0,463.0
984,752.0,424.0
985,773.0,449.0
986,752.0,458.0
987,815.0,455.0
988,755.0,475.0
989,748.0,419.0
990,776.0,449.0
991,797.0,454.0
992,791.0,400.0
993,809.0,382.0
994,766.0,408.0
995,742.0,435.0
996,774.0,435.0
997,772.0,404.0
998,785.0,405.0
999,784.0,458.0
1000,784.0,457.0
1001,775.0,449.0
1002,774.0,461.0
1003,799.0,460.0
1004,814.0,456.0
1005,897.0,513.0
1006,819.0,450.0
1007,815.0,485.0
1008,821.0,484.0
1009,812.0,536.0
1010,847.0,464.0
1011,858.0,511.0
1012,846.0,515.0
1013,846.0,524.0
1014,832.0,489.0
1015,841.0,476.0
1016,871.0,491.0
1017,900.0,498.0
1018,879.0,504.0
1019,881.0,480.0
1020,853.0,514.0
1021,884.0,499.0
1022,922.0,467.0
1023,885.0,504.0
1024,893.0,478.0
1025,826.0,506.0
1026,826.0,490.0
1027,903.0,467.0
1028,899.0,438.0
1029,892.0,535.0
1030,914.0,490.0
1031,893.0,484.0
1032,860.0,511.0
1033,948.0,509.0
1034,993.0,492.0
1035,897.0,492.0
1036,1003.0,510.0
1037,948.0,478.0
1038,949.0,516.0
1039,905.0,524.0
1040,957.0,535.0
1041,915.0,530.0
1042,911.0,537.0
1043,884.0,532.0
1044,935.0,575.0
1045,886.0,552.0
1046,898.0,555.0
1047,942.0,552.0
1048,920.0,557.0
1049,910.0,606.0
1050,972.0,563.0
1051,948.0,534.0
1052,926.0,569.0
1053,919.0,541.0
1054,917.0,535.0
1055,902.0,552.0
1056,918.0,550.0
1057,925.0,558.0
1058,897.0,591.0
1059,947.0,570.0
1060,931.0,588.0
1061,980.0,559.0
1062,987.0,620.0
1063,936.0,548.0
1064,926.0,581.0
1065,1047.0,629.0
1066,955.0,564.0
1067,989.0,555.0
1068,990.0,569.0
1069,946.0,578.0
1070,997.0,582.0
1071,965.0,538.0
1072,987.0,600.0
1073,926.0,640.0
1074,969.0,590.0
1075,957.0,576.0
1076,958.0,589.0
1077,1002.0,538.0
1078,992.0,609.0
1079,949.0,589.0
1080,1002.0,613.0
1081,998.0,554.0
1082,1045.0,586.0
1083,1029.0,612.0
1084,1021.0,580.0
1085,989.0,571.0
1086,1027.0,682.0
1087,1020.0,658.0
1088,1032.0,669.0
1089,1056.0,709.0
1090,1066.0,692.0
1091,1108.0,657.0
1092,1059.0,692.0
1093,1056.0,708.0
1094,1099.0,722.0
1095,1183.0,746.0
1096,1163.0,753.0
1097,1126.0,772.0
1098,1140.0,757.0
1099,1095.0,705.0
1100,1140.0,702.0
1101,1117.0,690.0
1102,1107.0,723.0
1103,1136.0,706.0
1104,1160.0,720.0
